,feat,classifier,filter,f1_mean,f1_std,bcc_mean,bcc_std,auc_mean,auc_std
4,PATCH-FFT-PEAKS,RandomForestClassifier,cross,0.9693333333333334,0.0,0.9693333333333334,0.0,0.9991376658333333,3.935472222227343e-05
5,PATCH-FFT-PEAKS,RandomForestClassifier,none,0.962,0.001733333333333309,0.962,0.00173333333333342,0.9985988127777778,3.0682777777790715e-05
6,PATCH-FFT-PEAKS,RandomForestClassifier,pmap,0.9478,0.0008666666666666822,0.9478,0.0008666666666666822,0.9968584119444445,1.0207500000025682e-05
7,PATCH-FFT-PEAKS,RandomForestClassifier,nlmeans,0.8925333333333334,0.005799999999999972,0.8925333333333334,0.005799999999999861,0.9916306927777778,0.0005361388888888707
0,PATCH-FFT-PEAKS,XGBClassifier,mean,0.9965999999999999,0.00040000000000001146,0.9966,0.00040000000000006697,0.9999753397222222,2.296944444424298e-06
1,PATCH-FFT-PEAKS,XGBClassifier,gaussian,0.9964999999999999,0.00023333333333336315,0.9965000000000002,0.00023333333333336315,0.9999717033333333,2.6972222222920728e-06
2,PATCH-FFT-PEAKS,XGBClassifier,access,0.9965999999999999,0.00013333333333337416,0.9965999999999999,0.00013333333333331865,0.999977295,1.2766666667163307e-06
3,PATCH-FFT-PEAKS,XGBClassifier,matthias,0.9903666666666666,0.0004333333333333412,0.9903666666666666,0.0004333333333332856,0.9998909825,1.0513888888397105e-06
4,PATCH-FFT-PEAKS,XGBClassifier,none,0.9705999999999999,0.0015999999999999903,0.9706000000000001,0.0016000000000000458,0.9991850216666667,4.472944444444682e-05
5,PATCH-FFT-PEAKS,XGBClassifier,cross,0.9778,0.0006000000000000449,0.9778,0.0005999999999999894,0.9995403552777777,1.0901944444474676e-05
6,PATCH-FFT-PEAKS,XGBClassifier,nlmeans,0.9595333333333333,0.0015999999999999903,0.9595333333333333,0.0015999999999999348,0.9979645330555555,9.209249999997393e-05
7,PATCH-FFT-PEAKS,XGBClassifier,pmap,0.9594333333333334,0.0015000000000000013,0.9594333333333332,0.0014999999999999458,0.9982410691666667,7.384638888885409e-05
0,PATCH-FFT-PEAKS,SVC,access,0.9848,0.0010000000000000009,0.9847999999999999,0.0010000000000000564,0.9995432266666666,0.00012878444444447412
1,PATCH-FFT-PEAKS,SVC,gaussian,0.9839666666666667,0.001433333333333342,0.9839666666666667,0.0014333333333333975,0.9996892544444445,8.766666666715217e-06
2,PATCH-FFT-PEAKS,SVC,mean,0.9790333333333334,0.0006999999999999784,0.9790333333333332,0.0006999999999999784,0.9993805188888889,4.5288888888939116e-05
3,PATCH-FFT-PEAKS,SVC,matthias,0.9244666666666667,0.009133333333333327,0.9244666666666665,0.009133333333333327,0.9963608916666666,1.7691666666652672e-05
4,PATCH-FFT-PEAKS,SVC,nlmeans,0.7756666666666667,0.0022000000000000353,0.7756666666666667,0.0021999999999999797,0.9817764211111111,0.0005122666666666498
5,PATCH-FFT-PEAKS,SVC,pmap,0.7769333333333334,0.0018000000000000238,0.7769333333333333,0.0017999999999999683,0.9730900677777778,7.554777777762922e-05
6,PATCH-FFT-PEAKS,SVC,cross,0.26393333333333335,0.0040000000000000036,0.2639333333333333,0.0040000000000000036,0.6017883705555556,0.003260739444444438
7,PATCH-FFT-PEAKS,SVC,none,0.2626,0.004466666666666674,0.2626,0.004466666666666674,0.5997867855555556,0.0033366866666665884
