,feat,classifier,filter,bcc_mean,bcc_std,auc_mean,auc_std
6,DINOV2,OneClassSVM,pmap,0.5620333333333333,0.045633333333333304,0.74143234,0.0008840800000000648
7,DINOV2,OneClassSVM,matthias,0.3663333333333333,0.001533333333333331,0.6585252188888888,0.0015430033333332926
0,DINOV2,PCA,matthias,0.8560666666666668,0.005466666666666675,0.8597241522222223,0.0003579644444444696
1,DINOV2,PCA,nlmeans,0.8551666666666666,0.025833333333333375,0.8954343,0.006101269999999992
2,DINOV2,PCA,gaussian,0.9233666666666667,0.015433333333333465,0.9383827950000001,0.0013599727777777737
3,DINOV2,PCA,cross,0.8745333333333333,0.011733333333333262,0.8786423538888889,6.296944444439401e-05
4,DINOV2,PCA,mean,0.9054666666666666,0.020333333333333314,0.9229216433333334,0.0009284333333333672
5,DINOV2,PCA,none,0.8746666666666667,0.018199999999999994,0.8695674727777778,0.0005023338888889284
6,DINOV2,PCA,pmap,0.8424333333333334,0.019699999999999884,0.8335403666666668,0.012101763333333293
7,DINOV2,PCA,access,0.9154666666666665,0.015533333333333288,0.9243406544444446,0.008113965555555547
0,CLIP,IsolationForest,access,0.5055666666666667,0.022233333333333327,0.7457943486111112,0.0027319880555555787
1,CLIP,IsolationForest,matthias,0.46220000000000006,0.0028666666666666563,0.7591892197222221,0.0004720041666666508
2,CLIP,IsolationForest,cross,0.28163333333333335,0.020500000000000018,0.5409355819444444,0.004890544722222223
3,CLIP,IsolationForest,none,0.2734,0.031600000000000045,0.5295860675,0.0015738813888889203
4,CLIP,IsolationForest,pmap,0.6248333333333334,0.030033333333333356,0.8214967588888888,0.010793912222222257
5,CLIP,IsolationForest,mean,0.48913333333333336,0.008000000000000007,0.7342994277777777,2.515222222215785e-05
6,CLIP,IsolationForest,nlmeans,0.5545666666666667,0.012433333333333296,0.7957945944444444,0.003165418888888938
7,CLIP,IsolationForest,gaussian,0.5150333333333333,0.005233333333333312,0.7207310469444445,0.0018401080555555671
0,CLIP,OneClassSVM,pmap,0.4911333333333333,0.016533333333333372,0.7624535183333334,0.0010571783333332418
